0	0	0	0	0	0
2	444563	444637	383933	383238	357144
4	993722	995817	937531	841405	791696
6	1482851	1507689	1452223	1334528	1168964
8	2154945	2171236	2011958	1824617	1592475
10	2654543	2791467	2554175	2331119	2166474
12	3262051	3401420	3024148	2642226	2652455
14	4124745	4054769	3461150	3169740	3090440
16	4272055	4468140	4229973	3603925	3442267
18	5166995	4928385	4456743	4148298	3894921
20	5490105	5452115	4970597	4608787	4100555
22	5911611	6092393	5341057	4920095	4480450
24	6693207	6898082	6093573	5626759	4923919
26	7107068	7183419	6527403	5744860	5258010
28	7410407	7401993	6918969	6247585	5685149
30	7693389	7800258	7214337	6555629	5975274
32	8249440	8217564	7631834	6860775	6275451
34	8681442	8719778	7942302	7286199	6614316
36	9031775	9094861	8321154	7611742	6843360
38	9322605	9320363	8653240	7954751	7166956
40	9648184	9724753	8968909	8211748	7317161
